Job Title,Job Function,Job Level
Marketing Consultant and Consumer Marketing Strategist for Corporations,"Consultant Services,Marketing,Strategy",Consultant
President Puritan's Pride and Senior Vice President Consumer Direct for NBTY,Management,Executive
Mentor,Other,Other
Marketing Consultant and Consumer Marketing Strategist for Corporations,"Consultant Services,Marketing,Strategy",Consultant
President Puritan's Pride,Management,Executive
Advisor/Mentor,Other,Consultant
Chief Marketing Officer,"Management,Marketing",Executive
Vice President Branded Entertainment,Management,Executive
Managing Director Global Compliance and Reporting Tax and Accounting,Management,Manager
Managing Director Global Compliance and Reporting Tax and Accounting,Management,Manager
Senior Director - Canada,Other,Manager
Senior Director - Canada,Other,Manager
Entertainment and DRTV Media Consultant,Consultant Services,Consultant
Entertainment and Media Consultant,Consultant Services,Consultant
Senior Vice President,Management,Executive
Consultant,Consultant Services,Consultant
Vice President Services,"Management,Services",Executive
Senior Vice President Content Planning and Strategy Freeform,"Management,Strategy",Executive
Consultant Founder,"Consultant Services,Management",Consultant
President Legal Media,Management,Executive
President Legal Media,Management,Executive
Member of the Board,Other,Other
Chief Operating Officer,"Management,Operations",Executive
Chief Executive Officer,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
Vice President Account Director,Management,Executive
Executive Vice President Social and Mobile Games,Management,Executive
Creative and Marketing Consultant,"Consultant Services,Marketing",Consultant
Adjunct Assistant Professor,Education,Professor
Senior Vice President Strategic Planning Brand and Digital,"Management,Strategy",Executive
Head of Sales,Sales,Other
Senior Vice President of Sales Marketing and Product Development,"Management,Marketing,Sales,Products",Executive
Co-Founder and Managing Partner,Management,Executive
Founding Managing Partner,Management,Executive
Head of Client Solutions Markit Digital,Other,Other
Head of Client Solutions Markit On Demand,Other,Other
Senior Vice President of Engineering,"Management,Engineering",Executive
Partner,Management,Executive
Executive Vice President Shopper and Retail Strategy,"Management,Sales,Strategy",Executive
Board of Directors | Corporate Development,Other,Manager
Board Member,Other,Other
Chief Creative Officer,Management,Executive
Senior Vice President Marketing and Creative,"Management,Marketing",Executive
Vice President Executive Creative Director,Management,Executive
Branding and Creative Consultant,Consultant Services,Consultant
Vice President Consumer Marketing and Creative,"Management,Marketing",Executive
Consultant,Consultant Services,Consultant
Vice President Television Finance,"Management,Finances",Executive
Group Vice President Strategy,"Management,Strategy",Executive
Vice President Strategy,"Management,Strategy",Executive
Vice President Technology Services,"Management,Services",Executive
Chief Executive Officer,Management,Executive
Board Member,Other,Other
Chief Executive Officer,Management,Executive
Board Member,Other,Other
Board Member,Other,Other
Senior Vice President Publisher Credit Information Products,"Management,Products",Executive
Chief Finance Officer,"Management,Finances",Executive
Vice President Business Development,"Management,Business",Executive
VP/Director Investment Banking Group,Other,Manager
Advisory Board Member,Other,Consultant
Managing Director - Operations and Finance,"Management,Operations,Finances",Manager
Chief Financial Officer,"Management,Finances",Executive
Chief Strategy Officer,"Management,Strategy",Executive
Chief Executive Officer,Management,Executive
Senior Vice President and General Manager Turner Sports and NBA Digital,Management,Executive
Group Manager - Media,Management,Manager
Senior Vice President Director National Broadcast,Management,Executive
Advisor,Other,Consultant
Chief Digital Officer,Management,Executive
Chief Digital Officer,Management,Executive
Interim Chief Finance Officer,"Management,Finances",Executive
Contract Chief Finance Officer,"Management,Finances",Executive
Consulting Chief Finance Officer,"Consultant Services,Management,Finances",Executive
Chief Finance Officer LexisNexis Asia,"Management,Finances",Executive
Director of Product Management - Globalization and Recommendations,"Management,Products",Manager
General Manager Games,Management,Manager
Vice President Publisher Development,Management,Executive
National Sales Director,Sales,Manager
Executive Vice President North America,Management,Executive
Chief Executive Officer,Management,Executive
Global Head of Brands and Licensing,Other,Other
Managing Director Head U.S. Trust Marketing,"Management,Marketing",Manager
TV/Radio Host Keynote Speaker Brand Ambassador,Other,Other
Co-Host and Chief Burger-ologist,Management,Executive
Founder and Chief Executive Officer,Management,Executive
Visiting Professor from Practice,Education,Professor
Editorial Counsel,Other,Other
Business Consultant,"Consultant Services,Business",Consultant
US Brand President Rado,Management,Executive
Global Vice President Sales Operations and Productivity,"Management,Operations,Sales,Products",Executive
Vice President Strategic Sales and Operations,"Management,Operations,Sales,Strategy",Executive
Senior Vice President,Management,Executive
Director of New Entrepreneurial Learning,Entrepreneur,Manager
Senior Vice President Product and Technology,"Management,Products",Executive
Vice President of Customer Acquisition and Marketing Technology,"Management,Marketing,Customer Services",Executive
Member Board of Directors,Other,Manager
General Manager | Insurance and Digital Solutions || AI | Cognitive | Process Enhancement,Management,Manager
Transformation | Strategy | Direct Marketing | Change Management | Digital | President,"Management,Marketing,Strategy",Executive
Vice President Research Business Strategy,"Management,Business,Research,Strategy",Executive
Chief Operating Officer and President,"Management,Operations",Executive
Head of Business Planning and Operations,"Business,Operations",Other
Head of Business Planning and Operations,"Business,Operations",Other
Head of Data Governance IoT Data and Analytics Platform,Analytics,Other
Senior Advisor; Business Development,Business,Consultant
Managing Director Research Solution Sales - Corporate,"Management,Sales,Research",Manager
Executive Vice President Business Development,"Management,Business",Executive
President,Management,Executive
Senior Vice President Marketing and Business Development,"Management,Business,Marketing",Executive
President,Management,Executive
President,Management,Executive
Brand Manager - Jaquet Droz,Management,Manager
Manager,Management,Manager
Vice President Global,Management,Executive
Vice President Business Development Global,"Management,Business",Executive
Vice President North America,Management,Executive
Vice President Marketing,"Management,Marketing",Executive
Vice President Sales and Marketing,"Management,Marketing,Sales",Executive
Group Product Marketing Manager,"Management,Marketing,Products",Manager
Senior Product Manager,"Management,Products",Manager
Packaging/Merchandising Manager,Management,Manager
Modern Marketing Sales Executive,"Management,Marketing,Sales",Executive
Vice President of Sales - National Accounts,"Management,Sales",Executive
Managing Director,Management,Manager
Senior Vice President Research and Communication,"Management,Research",Executive
